time,bpm
2023-05-29 16:04:48 +0900 JST,86
2023-05-29 16:04:49 +0900 JST,87
2023-05-29 16:04:50 +0900 JST,89
2023-05-29 16:04:51 +0900 JST,91
2023-05-29 16:04:53 +0900 JST,93
2023-05-29 16:04:54 +0900 JST,95
2023-05-29 16:04:59 +0900 JST,89
2023-05-29 16:04:58 +0900 JST,96
2023-05-29 16:05:00 +0900 JST,83
2023-05-29 16:05:03 +0900 JST,84
2023-05-29 16:05:07 +0900 JST,82
2023-05-29 16:05:11 +0900 JST,80
2023-05-29 16:05:14 +0900 JST,81
2023-05-29 16:05:16 +0900 JST,83
2023-05-29 16:05:17 +0900 JST,84
2023-05-29 16:05:18 +0900 JST,86
2023-05-29 16:05:21 +0900 JST,87
2023-05-29 16:05:22 +0900 JST,86
2023-05-29 16:05:25 +0900 JST,84
2023-05-29 16:05:30 +0900 JST,85
2023-05-29 16:05:31 +0900 JST,86
2023-05-29 16:05:32 +0900 JST,85
2023-05-29 16:05:35 +0900 JST,83
2023-05-29 16:05:39 +0900 JST,79
2023-05-29 16:05:34 +0900 JST,84
2023-05-29 16:05:41 +0900 JST,78
2023-05-29 16:05:46 +0900 JST,77
2023-05-29 16:05:48 +0900 JST,78
2023-05-29 16:05:49 +0900 JST,77
2023-05-29 16:06:00 +0900 JST,74
2023-05-29 16:05:53 +0900 JST,76
2023-05-29 16:06:03 +0900 JST,76
2023-05-29 16:06:04 +0900 JST,77
2023-05-29 16:06:12 +0900 JST,76
2023-05-29 16:06:13 +0900 JST,75
2023-05-29 16:06:15 +0900 JST,74
2023-05-29 16:06:17 +0900 JST,73
2023-05-29 16:06:18 +0900 JST,72
2023-05-29 16:06:21 +0900 JST,71
2023-05-29 16:06:27 +0900 JST,72
2023-05-29 16:06:31 +0900 JST,73
2023-05-29 16:06:35 +0900 JST,74
2023-05-29 16:06:39 +0900 JST,78
2023-05-29 16:06:40 +0900 JST,80
2023-05-29 16:06:41 +0900 JST,79
2023-05-29 16:06:43 +0900 JST,78
2023-05-29 16:06:48 +0900 JST,77
2023-05-29 16:06:50 +0900 JST,77
2023-05-29 16:06:51 +0900 JST,78
2023-05-29 16:06:58 +0900 JST,83
2023-05-29 16:06:55 +0900 JST,82
2023-05-29 16:06:54 +0900 JST,81
2023-05-29 16:07:03 +0900 JST,87
2023-05-29 16:07:07 +0900 JST,89
2023-05-29 16:07:04 +0900 JST,88
2023-05-29 16:07:12 +0900 JST,91
2023-05-29 16:07:15 +0900 JST,92
2023-05-29 16:07:16 +0900 JST,94
2023-05-29 16:07:17 +0900 JST,95
2023-05-29 16:07:18 +0900 JST,96
2023-05-29 16:07:20 +0900 JST,100
2023-05-29 16:07:21 +0900 JST,101
2023-05-29 16:07:22 +0900 JST,103
2023-05-29 16:07:25 +0900 JST,108
2023-05-29 16:07:23 +0900 JST,106
2023-05-29 16:07:27 +0900 JST,110
2023-05-29 16:07:29 +0900 JST,112
2023-05-29 16:07:30 +0900 JST,113
2023-05-29 16:07:31 +0900 JST,114
2023-05-29 16:07:35 +0900 JST,113
2023-05-29 16:07:41 +0900 JST,115
2023-05-29 16:07:44 +0900 JST,118
2023-05-29 16:07:45 +0900 JST,120
2023-05-29 16:07:47 +0900 JST,122
2023-05-29 16:07:48 +0900 JST,123
2023-05-29 16:07:49 +0900 JST,124
2023-05-29 16:07:57 +0900 JST,123
2023-05-29 16:07:58 +0900 JST,121
2023-05-29 16:07:59 +0900 JST,118
2023-05-29 16:08:02 +0900 JST,113
2023-05-29 16:08:03 +0900 JST,111
2023-05-29 16:08:08 +0900 JST,100
2023-05-29 16:08:06 +0900 JST,105
2023-05-29 16:08:09 +0900 JST,98
2023-05-29 16:08:11 +0900 JST,96
2023-05-29 16:08:13 +0900 JST,94
2023-05-29 16:08:14 +0900 JST,93
2023-05-29 16:08:16 +0900 JST,92
2023-05-29 16:08:17 +0900 JST,94
2023-05-29 16:08:20 +0900 JST,95
2023-05-29 16:08:21 +0900 JST,96
2023-05-29 16:08:22 +0900 JST,97
2023-05-29 16:08:25 +0900 JST,99
2023-05-29 16:08:26 +0900 JST,100
2023-05-29 16:08:30 +0900 JST,97
2023-05-29 16:08:35 +0900 JST,98
2023-05-29 16:08:38 +0900 JST,105
2023-05-29 16:08:39 +0900 JST,107
2023-05-29 16:08:41 +0900 JST,113
2023-05-29 16:08:43 +0900 JST,120
2023-05-29 16:08:44 +0900 JST,122
2023-05-29 16:08:45 +0900 JST,124
2023-05-29 16:08:48 +0900 JST,123
2023-05-29 16:08:49 +0900 JST,120
2023-05-29 16:08:50 +0900 JST,119
2023-05-29 16:08:52 +0900 JST,114
2023-05-29 16:08:53 +0900 JST,108
2023-05-29 16:08:55 +0900 JST,87
2023-05-29 16:08:58 +0900 JST,85
2023-05-29 16:09:01 +0900 JST,75
2023-05-29 16:09:02 +0900 JST,74
2023-05-29 16:09:04 +0900 JST,71
2023-05-29 16:09:03 +0900 JST,72
2023-05-29 16:09:08 +0900 JST,69
2023-05-29 16:09:10 +0900 JST,71
2023-05-29 16:09:11 +0900 JST,74
2023-05-29 16:09:12 +0900 JST,75
2023-05-29 16:09:13 +0900 JST,78
2023-05-29 16:09:15 +0900 JST,74
2023-05-29 16:09:16 +0900 JST,71
2023-05-29 16:09:18 +0900 JST,69
2023-05-29 16:09:22 +0900 JST,75
2023-05-29 16:09:25 +0900 JST,71
2023-05-29 16:09:27 +0900 JST,73
