time,status
2023-11-05 20:07:59.238 +0900 JST,normal
2023-11-06 13:58:53.242 +0900 JST,normal
2023-11-06 14:02:38.23 +0900 JST,normal
2023-11-06 14:02:56.172 +0900 JST,normal
2023-11-06 14:03:17.302 +0900 JST,normal
2023-11-06 14:04:03.152 +0900 JST,relief
2023-11-06 14:04:08.596 +0900 JST,relief
2023-11-06 14:04:13.992 +0900 JST,surprise
